Data set,Study,Journal,Raptor order,Raptor family,Raptor genus,Raptor scientific name,Raptor common name,Continent,Country,Latitude (decimal degree),Longitude (decimal degree),Habitat,Season,Pellets,Prey remains,Observations,DNA,Body mass (g) (EltonTraits),Num_obs,,Notes
155,MacLaren et al 1988,Great Basin Naturalist,Falconiformes,Falconidae,Falco,Falco mexicanus,Prairie Falcon,North America,USA,41.71,-106.12,Sagebrush,Year round,X,X,,,759.95,168,,
156,MacLaren et al 1988,Great Basin Naturalist,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,41.71,-106.12,Sagebrush,Year round,X,X,,,4247.97,560,,
157,MacLaren et al 1988,Great Basin Naturalist,Acciptriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,41.71,-106.12,Sagebrush,Year round,X,X,,,1101.16,104,,
158,MacLaren et al 1988,Great Basin Naturalist,Acciptriformes,Acciptridae,Buteo,Buteo regalis,Ferruginous Hawk,North America,USA,41.71,-106.12,Sagebrush,Year round,X,X,,,1437.18,278,,
159,Angelici et al 1997,J Raptor Res,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Europe,Greece,36.55,26.36666,Shrubs and agriculture,Breeding season,X,,,,168.92,1068,,
160,Watson and Davies 2015,Northwestern Naturalist,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,47.02,-118.93,"Shrub-steppe, grassland, pine forest",Summer,X,X,X,,4247.97,250,,
161,Smith and Murphy 1973,Brigham Young University Science Bulletin,Strigiformes,Strigidae,Bubo,Bubo virginianus,Great Horned Owl,North America,USA,40.28,-112.33,"Desert shrub, Pinyon-Juniper",Nesting,X,X,,,1575.7,449,,
162,Smith and Murphy 1973,Brigham Young University Science Bulletin,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,40.28,-112.33,"Desert shrub, Pinyon-Juniper",Nesting,X,X,,,4247.97,326,,
163,Smith and Murphy 1973,Brigham Young University Science Bulletin,Acciptriformes,Acciptridae,Buteo,Buteo regalis,Ferruginous Hawk,North America,USA,40.28,-112.33,"Desert shrub, Pinyon-Juniper",Nesting,X,X,,,1437.18,354,,
164,Smith and Murphy 1973,Brigham Young University Science Bulletin,Acciptriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,40.28,-112.33,"Desert shrub, Pinyon-Juniper",Nesting,X,X,,,1101.16,330,,
165,Smith and Murphy 1973,Brigham Young University Science Bulletin,Acciptriformes,Acciptridae,Buteo,Buteo swainsoni,Swainson's hawk,North America,USA,40.28,-112.33,"Desert shrub, Pinyon-Juniper",Nesting,X,X,,,,161,,
